2016-10-30T00:00:01: Error: ENOENT: no such file or directory, open '2016-10-30.json'
2016-10-30T00:00:01: 读取文件失败，可能是该文件不存在
2016-10-30T00:28:06: 读取文件成功
2016-10-30T00:28:09: 读取文件成功
2016-10-30T00:28:12: 读取文件成功
2016-10-30T00:28:16: 读取文件成功
2016-10-30T00:28:19: 读取文件成功
2016-10-30T00:28:22: 读取文件成功
2016-10-30T00:28:25: 读取文件成功
2016-10-30T00:28:28: 读取文件成功
2016-10-30T00:28:31: 读取文件成功
2016-10-30T00:28:34: 读取文件成功
2016-10-30T00:28:37: 读取文件成功
2016-10-30T00:28:40: 读取文件成功
2016-10-30T00:28:43: 读取文件成功
2016-10-30T00:28:46: 读取文件成功
2016-10-30T00:28:49: 读取文件成功
2016-10-30T00:28:52: 读取文件成功
2016-10-30T00:28:55: 读取文件成功
2016-10-30T00:28:58: 读取文件成功
2016-10-30T00:29:01: 读取文件成功
2016-10-30T00:29:04: 读取文件成功
2016-10-30T00:29:07: 读取文件成功
2016-10-30T00:29:10: 读取文件成功
2016-10-30T00:29:13: 读取文件成功
2016-10-30T00:29:16: 读取文件成功
2016-10-30T00:29:19: 读取文件成功
2016-10-30T00:29:22: 读取文件成功
2016-10-30T00:29:25: 读取文件成功
2016-10-30T00:29:28: 读取文件成功
2016-10-30T00:29:31: 读取文件成功
2016-10-30T00:29:34: 读取文件成功
2016-10-30T00:29:37: 读取文件成功
2016-10-30T00:29:40: 读取文件成功
2016-10-30T00:29:43: 读取文件成功
2016-10-30T00:29:46: 读取文件成功
2016-10-30T00:29:49: 读取文件成功
2016-10-30T00:29:52: 读取文件成功
2016-10-30T00:29:55: 读取文件成功
2016-10-30T00:29:58: 读取文件成功
2016-10-30T00:30:01: 读取文件成功
2016-10-30T00:30:04: 读取文件成功
2016-10-30T00:30:07: 读取文件成功
2016-10-30T00:30:10: 读取文件成功
2016-10-30T00:30:13: 读取文件成功
2016-10-30T00:30:16: 读取文件成功
2016-10-30T00:30:19: 读取文件成功
2016-10-30T00:30:22: 读取文件成功
2016-10-30T00:30:25: 读取文件成功
2016-10-30T00:30:28: 读取文件成功
2016-10-30T00:30:31: 读取文件成功
2016-10-30T00:30:34: 读取文件成功
2016-10-30T00:30:37: 读取文件成功
2016-10-30T00:30:40: 读取文件成功
2016-10-30T00:30:43: 读取文件成功
2016-10-30T00:30:46: 读取文件成功
2016-10-30T00:30:49: 读取文件成功
2016-10-30T00:30:52: 读取文件成功
2016-10-30T00:30:55: 读取文件成功
2016-10-30T00:30:58: 读取文件成功
2016-10-30T00:31:01: 读取文件成功
2016-10-30T00:31:04: 读取文件成功
2016-10-30T00:31:07: 读取文件成功
2016-10-30T00:31:10: 读取文件成功
2016-10-30T00:31:13: 读取文件成功
