2016-10-28T00:04:31: Error: ENOENT: no such file or directory, open '2016-10-28.json'
2016-10-28T00:04:31: 读取文件失败，可能是该文件不存在
2016-10-28T00:58:33: 读取文件成功
2016-10-28T00:58:36: 读取文件成功
2016-10-28T00:58:39: 读取文件成功
2016-10-28T00:58:42: 读取文件成功
2016-10-28T00:58:45: 读取文件成功
2016-10-28T00:58:48: 读取文件成功
2016-10-28T00:58:51: 读取文件成功
2016-10-28T00:58:54: 读取文件成功
2016-10-28T00:58:57: 读取文件成功
2016-10-28T00:59:00: 读取文件成功
2016-10-28T00:59:03: 读取文件成功
2016-10-28T00:59:06: 读取文件成功
2016-10-28T00:59:09: 读取文件成功
2016-10-28T00:59:12: 读取文件成功
2016-10-28T00:59:15: 读取文件成功
2016-10-28T00:59:18: 读取文件成功
2016-10-28T00:59:21: 读取文件成功
2016-10-28T00:59:24: 读取文件成功
2016-10-28T00:59:27: 读取文件成功
2016-10-28T00:59:30: 读取文件成功
2016-10-28T00:59:33: 读取文件成功
2016-10-28T00:59:36: 读取文件成功
2016-10-28T00:59:39: 读取文件成功
2016-10-28T00:59:42: 读取文件成功
2016-10-28T00:59:46: 读取文件成功
2016-10-28T00:59:49: 读取文件成功
2016-10-28T00:59:52: 读取文件成功
2016-10-28T00:59:55: 读取文件成功
2016-10-28T00:59:58: 读取文件成功
2016-10-28T01:00:01: 读取文件成功
2016-10-28T01:00:04: 读取文件成功
2016-10-28T01:00:07: 读取文件成功
2016-10-28T01:00:10: 读取文件成功
2016-10-28T01:00:13: 读取文件成功
2016-10-28T01:00:16: 读取文件成功
2016-10-28T01:00:19: 读取文件成功
2016-10-28T01:00:22: 读取文件成功
2016-10-28T01:00:25: 读取文件成功
2016-10-28T01:00:28: 读取文件成功
2016-10-28T01:00:31: 读取文件成功
2016-10-28T01:00:34: 读取文件成功
2016-10-28T01:00:37: 读取文件成功
2016-10-28T01:00:40: 读取文件成功
2016-10-28T01:00:43: 读取文件成功
2016-10-28T01:00:46: 读取文件成功
2016-10-28T01:00:49: 读取文件成功
2016-10-28T01:00:52: 读取文件成功
2016-10-28T01:00:55: 读取文件成功
2016-10-28T01:00:58: 读取文件成功
2016-10-28T01:01:01: 读取文件成功
2016-10-28T01:01:04: 读取文件成功
2016-10-28T01:01:07: 读取文件成功
2016-10-28T01:01:10: 读取文件成功
2016-10-28T01:01:13: 读取文件成功
2016-10-28T01:01:16: 读取文件成功
2016-10-28T01:01:19: 读取文件成功
2016-10-28T01:01:22: 读取文件成功
2016-10-28T01:01:25: 读取文件成功
2016-10-28T01:01:28: 读取文件成功
2016-10-28T01:01:31: 读取文件成功
2016-10-28T01:01:34: 读取文件成功
2016-10-28T01:01:37: 读取文件成功
2016-10-28T01:01:40: 读取文件成功
2016-10-28T01:01:43: 读取文件成功
2016-10-28T01:01:46: 读取文件成功
2016-10-28T01:01:49: 读取文件成功
2016-10-28T01:01:52: 读取文件成功
2016-10-28T01:01:55: 读取文件成功
2016-10-28T01:01:58: 读取文件成功
2016-10-28T01:02:01: 读取文件成功
2016-10-28T01:02:04: 读取文件成功
2016-10-28T01:02:07: 读取文件成功
2016-10-28T01:02:10: 读取文件成功
2016-10-28T01:02:13: 读取文件成功
2016-10-28T01:02:16: 读取文件成功
2016-10-28T01:02:19: 读取文件成功
2016-10-28T01:02:22: 读取文件成功
2016-10-28T01:02:25: 读取文件成功
2016-10-28T01:02:28: 读取文件成功
2016-10-28T01:02:31: 读取文件成功
2016-10-28T01:02:34: 读取文件成功
2016-10-28T01:02:37: 读取文件成功
2016-10-28T01:02:40: 读取文件成功
2016-10-28T01:02:43: 读取文件成功
2016-10-28T01:02:46: 读取文件成功
2016-10-28T01:02:49: 读取文件成功
2016-10-28T01:02:52: 读取文件成功
2016-10-28T01:02:55: 读取文件成功
2016-10-28T01:02:58: 读取文件成功
2016-10-28T01:03:01: 读取文件成功
2016-10-28T01:03:04: 读取文件成功
2016-10-28T01:03:07: 读取文件成功
2016-10-28T01:03:10: 读取文件成功
2016-10-28T01:03:13: 读取文件成功
2016-10-28T01:03:16: 读取文件成功
2016-10-28T01:03:19: 读取文件成功
2016-10-28T01:03:22: 读取文件成功
2016-10-28T01:03:25: 读取文件成功
2016-10-28T01:03:28: 读取文件成功
2016-10-28T01:03:31: 读取文件成功
2016-10-28T01:03:34: 读取文件成功
2016-10-28T01:03:37: 读取文件成功
2016-10-28T01:03:40: 读取文件成功
2016-10-28T01:03:43: 读取文件成功
2016-10-28T01:03:46: 读取文件成功
2016-10-28T01:03:49: 读取文件成功
2016-10-28T01:03:52: 读取文件成功
2016-10-28T01:04:00: 读取文件成功
2016-10-28T01:04:00: 读取文件成功
2016-10-28T01:04:01: 读取文件成功
2016-10-28T01:04:04: 读取文件成功
2016-10-28T01:04:07: 读取文件成功
2016-10-28T01:04:10: 读取文件成功
2016-10-28T01:04:13: 读取文件成功
2016-10-28T01:04:16: 读取文件成功
2016-10-28T01:04:19: 读取文件成功
2016-10-28T01:04:22: 读取文件成功
2016-10-28T01:04:25: 读取文件成功
2016-10-28T01:04:28: 读取文件成功
2016-10-28T01:04:31: 读取文件成功
2016-10-28T01:04:34: 读取文件成功
2016-10-28T01:04:37: 读取文件成功
2016-10-28T01:04:40: 读取文件成功
2016-10-28T01:04:43: 读取文件成功
2016-10-28T01:04:46: 读取文件成功
2016-10-28T01:04:49: 读取文件成功
2016-10-28T01:04:52: 读取文件成功
2016-10-28T01:04:55: 读取文件成功
2016-10-28T01:04:58: 读取文件成功
2016-10-28T01:05:01: 读取文件成功
2016-10-28T01:05:04: 读取文件成功
2016-10-28T01:05:07: 读取文件成功
2016-10-28T01:05:10: 读取文件成功
2016-10-28T01:05:13: 读取文件成功
2016-10-28T01:05:16: 读取文件成功
2016-10-28T01:05:19: 读取文件成功
2016-10-28T01:05:22: 读取文件成功
2016-10-28T01:05:25: 读取文件成功
2016-10-28T01:05:28: 读取文件成功
2016-10-28T01:05:31: 读取文件成功
2016-10-28T01:05:34: 读取文件成功
2016-10-28T01:05:37: 读取文件成功
2016-10-28T01:05:40: 读取文件成功
2016-10-28T01:05:43: 读取文件成功
2016-10-28T01:05:46: 读取文件成功
2016-10-28T01:05:49: 读取文件成功
2016-10-28T01:05:52: 读取文件成功
2016-10-28T01:05:55: 读取文件成功
2016-10-28T01:05:58: 读取文件成功
2016-10-28T01:06:01: 读取文件成功
2016-10-28T01:06:04: 读取文件成功
2016-10-28T01:06:07: 读取文件成功
2016-10-28T01:06:10: 读取文件成功
2016-10-28T01:06:13: 读取文件成功
2016-10-28T01:06:16: 读取文件成功
2016-10-28T01:06:19: 读取文件成功
2016-10-28T01:06:22: 读取文件成功
2016-10-28T01:06:25: 读取文件成功
2016-10-28T01:06:28: 读取文件成功
2016-10-28T01:06:31: 读取文件成功
2016-10-28T01:06:34: 读取文件成功
2016-10-28T01:06:37: 读取文件成功
2016-10-28T01:06:40: 读取文件成功
2016-10-28T01:06:43: 读取文件成功
2016-10-28T01:06:46: 读取文件成功
2016-10-28T01:06:49: 读取文件成功
2016-10-28T01:06:52: 读取文件成功
2016-10-28T01:06:55: 读取文件成功
2016-10-28T01:06:58: 读取文件成功
2016-10-28T01:07:01: 读取文件成功
2016-10-28T01:07:04: 读取文件成功
2016-10-28T01:07:07: 读取文件成功
2016-10-28T01:07:10: 读取文件成功
2016-10-28T01:07:13: 读取文件成功
2016-10-28T01:07:16: 读取文件成功
2016-10-28T01:07:19: 读取文件成功
2016-10-28T01:07:22: 读取文件成功
2016-10-28T01:07:25: 读取文件成功
2016-10-28T01:07:28: 读取文件成功
2016-10-28T01:07:31: 读取文件成功
2016-10-28T01:07:34: 读取文件成功
2016-10-28T01:07:37: 读取文件成功
2016-10-28T01:07:40: 读取文件成功
2016-10-28T01:07:43: 读取文件成功
2016-10-28T01:07:46: 读取文件成功
2016-10-28T01:07:49: 读取文件成功
2016-10-28T01:07:52: 读取文件成功
2016-10-28T01:07:55: 读取文件成功
2016-10-28T01:07:58: 读取文件成功
2016-10-28T01:08:01: 读取文件成功
2016-10-28T01:08:04: 读取文件成功
2016-10-28T01:08:07: 读取文件成功
2016-10-28T01:08:10: 读取文件成功
2016-10-28T01:08:13: 读取文件成功
2016-10-28T01:08:17: 读取文件成功
2016-10-28T01:08:19: 读取文件成功
2016-10-28T01:08:22: 读取文件成功
2016-10-28T01:08:26: 读取文件成功
2016-10-28T01:08:29: 读取文件成功
2016-10-28T01:08:32: 读取文件成功
2016-10-28T01:08:35: 读取文件成功
2016-10-28T01:08:38: 读取文件成功
2016-10-28T01:08:41: 读取文件成功
2016-10-28T01:08:44: 读取文件成功
2016-10-28T01:08:47: 读取文件成功
2016-10-28T01:08:50: 读取文件成功
2016-10-28T01:08:53: 读取文件成功
2016-10-28T01:08:56: 读取文件成功
2016-10-28T01:08:59: 读取文件成功
2016-10-28T01:09:02: 读取文件成功
2016-10-28T01:09:05: 读取文件成功
2016-10-28T01:09:08: 读取文件成功
2016-10-28T01:09:11: 读取文件成功
2016-10-28T01:09:14: 读取文件成功
2016-10-28T01:09:17: 读取文件成功
2016-10-28T01:09:20: 读取文件成功
2016-10-28T01:09:23: 读取文件成功
2016-10-28T01:09:26: 读取文件成功
2016-10-28T01:09:29: 读取文件成功
2016-10-28T01:09:32: 读取文件成功
2016-10-28T01:09:35: 读取文件成功
2016-10-28T01:09:38: 读取文件成功
2016-10-28T01:09:41: 读取文件成功
2016-10-28T01:09:44: 读取文件成功
2016-10-28T01:09:47: 读取文件成功
2016-10-28T01:09:50: 读取文件成功
2016-10-28T01:09:53: 读取文件成功
2016-10-28T01:09:56: 读取文件成功
2016-10-28T01:09:59: 读取文件成功
2016-10-28T01:10:02: 读取文件成功
2016-10-28T01:10:05: 读取文件成功
2016-10-28T01:10:08: 读取文件成功
2016-10-28T01:10:11: 读取文件成功
2016-10-28T01:10:14: 读取文件成功
2016-10-28T01:10:17: 读取文件成功
2016-10-28T01:10:20: 读取文件成功
2016-10-28T01:10:23: 读取文件成功
2016-10-28T01:10:26: 读取文件成功
2016-10-28T01:10:29: 读取文件成功
2016-10-28T01:10:32: 读取文件成功
2016-10-28T01:10:35: 读取文件成功
2016-10-28T01:10:38: 读取文件成功
2016-10-28T01:10:41: 读取文件成功
2016-10-28T01:10:44: 读取文件成功
2016-10-28T01:10:47: 读取文件成功
2016-10-28T01:10:50: 读取文件成功
2016-10-28T01:10:53: 读取文件成功
2016-10-28T01:10:56: 读取文件成功
2016-10-28T01:10:59: 读取文件成功
2016-10-28T01:11:02: 读取文件成功
2016-10-28T01:11:05: 读取文件成功
2016-10-28T01:11:08: 读取文件成功
2016-10-28T01:11:11: 读取文件成功
2016-10-28T01:11:14: 读取文件成功
2016-10-28T01:11:17: 读取文件成功
2016-10-28T01:11:20: 读取文件成功
2016-10-28T01:11:23: 读取文件成功
2016-10-28T01:11:26: 读取文件成功
2016-10-28T01:11:29: 读取文件成功
2016-10-28T01:11:32: 读取文件成功
2016-10-28T01:11:35: 读取文件成功
2016-10-28T01:11:38: 读取文件成功
2016-10-28T01:11:41: 读取文件成功
2016-10-28T01:11:44: 读取文件成功
2016-10-28T01:11:47: 读取文件成功
2016-10-28T01:11:50: 读取文件成功
2016-10-28T01:11:53: 读取文件成功
2016-10-28T01:11:56: 读取文件成功
2016-10-28T01:11:59: 读取文件成功
2016-10-28T01:12:02: 读取文件成功
2016-10-28T01:12:05: 读取文件成功
2016-10-28T01:12:08: 读取文件成功
2016-10-28T01:12:11: 读取文件成功
2016-10-28T01:12:14: 读取文件成功
2016-10-28T01:12:17: 读取文件成功
2016-10-28T01:12:20: 读取文件成功
2016-10-28T01:12:23: 读取文件成功
2016-10-28T01:12:26: 读取文件成功
2016-10-28T01:12:29: 读取文件成功
2016-10-28T01:12:32: 读取文件成功
2016-10-28T01:12:35: 读取文件成功
2016-10-28T01:12:38: 读取文件成功
2016-10-28T01:12:41: 读取文件成功
2016-10-28T01:12:44: 读取文件成功
2016-10-28T01:12:47: 读取文件成功
2016-10-28T01:12:50: 读取文件成功
2016-10-28T01:12:53: 读取文件成功
2016-10-28T01:12:56: 读取文件成功
2016-10-28T01:12:59: 读取文件成功
2016-10-28T01:13:02: 读取文件成功
2016-10-28T01:13:05: 读取文件成功
2016-10-28T01:13:08: 读取文件成功
2016-10-28T01:13:11: 读取文件成功
2016-10-28T01:13:14: 读取文件成功
2016-10-28T01:13:17: 读取文件成功
2016-10-28T01:13:20: 读取文件成功
2016-10-28T01:13:23: 读取文件成功
2016-10-28T01:13:26: 读取文件成功
2016-10-28T01:13:29: 读取文件成功
2016-10-28T01:13:32: 读取文件成功
2016-10-28T01:13:35: 读取文件成功
2016-10-28T01:13:38: 读取文件成功
2016-10-28T01:13:41: 读取文件成功
2016-10-28T01:13:44: 读取文件成功
2016-10-28T01:13:47: 读取文件成功
2016-10-28T01:13:50: 读取文件成功
2016-10-28T01:13:53: 读取文件成功
2016-10-28T01:13:56: 读取文件成功
2016-10-28T01:13:59: 读取文件成功
2016-10-28T01:14:02: 读取文件成功
2016-10-28T01:14:05: 读取文件成功
2016-10-28T01:14:08: 读取文件成功
2016-10-28T01:14:11: 读取文件成功
2016-10-28T01:14:14: 读取文件成功
2016-10-28T01:14:17: 读取文件成功
2016-10-28T01:14:20: 读取文件成功
2016-10-28T01:14:23: 读取文件成功
2016-10-28T01:14:26: 读取文件成功
2016-10-28T01:14:29: 读取文件成功
2016-10-28T01:14:32: 读取文件成功
2016-10-28T01:14:35: 读取文件成功
2016-10-28T01:14:38: 读取文件成功
2016-10-28T01:14:41: 读取文件成功
2016-10-28T01:14:44: 读取文件成功
2016-10-28T01:14:47: 读取文件成功
2016-10-28T01:14:50: 读取文件成功
2016-10-28T01:14:53: 读取文件成功
2016-10-28T01:14:56: 读取文件成功
2016-10-28T01:14:59: 读取文件成功
2016-10-28T01:15:02: 读取文件成功
2016-10-28T01:15:05: 读取文件成功
2016-10-28T01:15:08: 读取文件成功
2016-10-28T01:15:11: 读取文件成功
2016-10-28T01:15:14: 读取文件成功
2016-10-28T01:15:17: 读取文件成功
2016-10-28T01:15:20: 读取文件成功
2016-10-28T01:15:23: 读取文件成功
2016-10-28T01:15:26: 读取文件成功
2016-10-28T01:15:29: 读取文件成功
2016-10-28T01:15:32: 读取文件成功
2016-10-28T01:15:35: 读取文件成功
2016-10-28T01:15:38: 读取文件成功
2016-10-28T01:15:41: 读取文件成功
2016-10-28T01:15:44: 读取文件成功
2016-10-28T01:15:47: 读取文件成功
2016-10-28T01:15:50: 读取文件成功
2016-10-28T01:15:53: 读取文件成功
2016-10-28T01:15:56: 读取文件成功
2016-10-28T01:15:59: 读取文件成功
2016-10-28T01:16:02: 读取文件成功
2016-10-28T01:16:05: 读取文件成功
2016-10-28T01:16:08: 读取文件成功
2016-10-28T01:16:11: 读取文件成功
2016-10-28T01:16:14: 读取文件成功
2016-10-28T01:16:17: 读取文件成功
2016-10-28T01:16:20: 读取文件成功
2016-10-28T01:16:23: 读取文件成功
2016-10-28T01:16:26: 读取文件成功
2016-10-28T01:16:29: 读取文件成功
2016-10-28T01:16:32: 读取文件成功
2016-10-28T01:16:35: 读取文件成功
2016-10-28T01:16:38: 读取文件成功
2016-10-28T01:16:41: 读取文件成功
2016-10-28T01:16:44: 读取文件成功
2016-10-28T01:16:47: 读取文件成功
2016-10-28T01:16:50: 读取文件成功
2016-10-28T01:16:53: 读取文件成功
2016-10-28T01:16:56: 读取文件成功
2016-10-28T01:16:59: 读取文件成功
2016-10-28T01:17:02: 读取文件成功
2016-10-28T01:17:05: 读取文件成功
2016-10-28T01:17:08: 读取文件成功
2016-10-28T01:17:11: 读取文件成功
2016-10-28T01:17:14: 读取文件成功
2016-10-28T01:17:18: 读取文件成功
2016-10-28T01:17:20: 读取文件成功
2016-10-28T01:17:23: 读取文件成功
2016-10-28T01:17:27: 读取文件成功
2016-10-28T01:17:30: 读取文件成功
2016-10-28T01:17:33: 读取文件成功
2016-10-28T01:17:36: 读取文件成功
2016-10-28T01:17:39: 读取文件成功
2016-10-28T01:17:42: 读取文件成功
2016-10-28T01:17:45: 读取文件成功
2016-10-28T01:17:48: 读取文件成功
2016-10-28T01:17:51: 读取文件成功
2016-10-28T01:17:54: 读取文件成功
2016-10-28T01:17:57: 读取文件成功
2016-10-28T01:18:00: 读取文件成功
2016-10-28T01:18:03: 读取文件成功
2016-10-28T01:18:06: 读取文件成功
2016-10-28T01:18:09: 读取文件成功
2016-10-28T01:18:12: 读取文件成功
2016-10-28T01:18:15: 读取文件成功
2016-10-28T01:18:18: 读取文件成功
2016-10-28T01:18:21: 读取文件成功
2016-10-28T01:18:24: 读取文件成功
2016-10-28T01:18:27: 读取文件成功
2016-10-28T01:18:30: 读取文件成功
2016-10-28T01:18:33: 读取文件成功
2016-10-28T01:18:36: 读取文件成功
2016-10-28T01:18:39: 读取文件成功
2016-10-28T01:18:42: 读取文件成功
2016-10-28T01:18:45: 读取文件成功
2016-10-28T01:18:48: 读取文件成功
2016-10-28T01:18:51: 读取文件成功
2016-10-28T01:18:54: 读取文件成功
2016-10-28T01:18:57: 读取文件成功
2016-10-28T01:19:00: 读取文件成功
2016-10-28T01:19:03: 读取文件成功
2016-10-28T01:19:06: 读取文件成功
2016-10-28T01:19:09: 读取文件成功
2016-10-28T01:19:12: 读取文件成功
