2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:13:37: 读取文件成功
2016-10-27T00:13:40: 读取文件成功
2016-10-27T00:13:43: 读取文件成功
2016-10-27T00:13:46: 读取文件成功
2016-10-27T00:13:49: 读取文件成功
2016-10-27T00:13:52: 读取文件成功
2016-10-27T00:13:55: 读取文件成功
2016-10-27T00:13:58: 读取文件成功
2016-10-27T00:14:01: 读取文件成功
2016-10-27T00:14:04: 读取文件成功
2016-10-27T00:14:07: 读取文件成功
2016-10-27T00:14:11: 读取文件成功
2016-10-27T00:14:14: 读取文件成功
2016-10-27T00:14:17: 读取文件成功
2016-10-27T00:14:20: 读取文件成功
2016-10-27T00:14:24: 读取文件成功
2016-10-27T00:14:26: 读取文件成功
2016-10-27T00:14:29: 读取文件成功
2016-10-27T00:14:32: 读取文件成功
2016-10-27T00:14:35: 读取文件成功
2016-10-27T00:14:38: 读取文件成功
2016-10-27T00:14:41: 读取文件成功
2016-10-27T00:14:44: 读取文件成功
2016-10-27T00:14:47: 读取文件成功
2016-10-27T00:14:50: 读取文件成功
2016-10-27T00:14:53: 读取文件成功
2016-10-27T00:14:56: 读取文件成功
2016-10-27T00:14:59: 读取文件成功
2016-10-27T00:15:02: 读取文件成功
2016-10-27T00:15:05: 读取文件成功
2016-10-27T00:15:08: 读取文件成功
2016-10-27T00:15:11: 读取文件成功
2016-10-27T00:15:14: 读取文件成功
2016-10-27T00:15:17: 读取文件成功
2016-10-27T00:15:20: 读取文件成功
2016-10-27T00:15:23: 读取文件成功
2016-10-27T00:15:26: 读取文件成功
2016-10-27T00:15:29: 读取文件成功
2016-10-27T00:15:32: 读取文件成功
2016-10-27T00:15:35: 读取文件成功
2016-10-27T00:15:38: 读取文件成功
2016-10-27T00:15:41: 读取文件成功
2016-10-27T00:15:44: 读取文件成功
2016-10-27T00:15:47: 读取文件成功
2016-10-27T00:15:50: 读取文件成功
2016-10-27T00:15:53: 读取文件成功
2016-10-27T00:15:56: 读取文件成功
2016-10-27T00:15:59: 读取文件成功
2016-10-27T00:16:02: 读取文件成功
2016-10-27T00:16:05: 读取文件成功
2016-10-27T00:16:08: 读取文件成功
2016-10-27T00:16:11: 读取文件成功
2016-10-27T00:16:14: 读取文件成功
2016-10-27T00:16:17: 读取文件成功
2016-10-27T00:16:20: 读取文件成功
2016-10-27T00:16:23: 读取文件成功
2016-10-27T00:16:26: 读取文件成功
2016-10-27T00:16:29: 读取文件成功
2016-10-27T00:16:32: 读取文件成功
2016-10-27T00:16:35: 读取文件成功
2016-10-27T00:16:38: 读取文件成功
2016-10-27T00:16:41: 读取文件成功
2016-10-27T00:16:44: 读取文件成功
2016-10-27T00:16:47: 读取文件成功
2016-10-27T00:16:50: 读取文件成功
2016-10-27T00:16:53: 读取文件成功
2016-10-27T00:16:56: 读取文件成功
2016-10-27T00:16:59: 读取文件成功
2016-10-27T00:17:02: 读取文件成功
2016-10-27T00:17:05: 读取文件成功
2016-10-27T00:17:08: 读取文件成功
2016-10-27T00:17:11: 读取文件成功
2016-10-27T00:17:14: 读取文件成功
2016-10-27T00:17:17: 读取文件成功
2016-10-27T00:17:20: 读取文件成功
2016-10-27T00:17:23: 读取文件成功
2016-10-27T00:17:26: 读取文件成功
2016-10-27T00:17:29: 读取文件成功
2016-10-27T00:17:32: 读取文件成功
2016-10-27T00:17:35: 读取文件成功
2016-10-27T00:17:38: 读取文件成功
2016-10-27T00:17:41: 读取文件成功
2016-10-27T00:17:44: 读取文件成功
2016-10-27T00:17:47: 读取文件成功
2016-10-27T00:17:50: 读取文件成功
2016-10-27T00:17:53: 读取文件成功
2016-10-27T00:17:56: 读取文件成功
2016-10-27T00:17:59: 读取文件成功
2016-10-27T00:18:02: 读取文件成功
2016-10-27T00:18:05: 读取文件成功
2016-10-27T00:18:08: 读取文件成功
2016-10-27T00:18:11: 读取文件成功
2016-10-27T00:18:14: 读取文件成功
2016-10-27T00:18:17: 读取文件成功
2016-10-27T00:18:20: 读取文件成功
2016-10-27T00:18:23: 读取文件成功
2016-10-27T00:18:26: 读取文件成功
2016-10-27T00:18:29: 读取文件成功
2016-10-27T00:18:32: 读取文件成功
2016-10-27T00:18:35: 读取文件成功
2016-10-27T00:18:40: 读取文件成功
2016-10-27T00:18:41: 读取文件成功
2016-10-27T00:18:44: 读取文件成功
2016-10-27T00:18:47: 读取文件成功
2016-10-27T00:18:50: 读取文件成功
2016-10-27T00:18:53: 读取文件成功
2016-10-27T00:18:56: 读取文件成功
2016-10-27T00:18:59: 读取文件成功
2016-10-27T00:19:02: 读取文件成功
2016-10-27T00:19:05: 读取文件成功
2016-10-27T00:19:08: 读取文件成功
2016-10-27T00:19:11: 读取文件成功
2016-10-27T00:19:14: 读取文件成功
2016-10-27T00:19:17: 读取文件成功
2016-10-27T00:19:22: 读取文件成功
2016-10-27T00:19:23: 读取文件成功
2016-10-27T00:19:26: 读取文件成功
2016-10-27T00:19:29: 读取文件成功
2016-10-27T00:19:32: 读取文件成功
2016-10-27T00:19:35: 读取文件成功
2016-10-27T00:19:39: 读取文件成功
2016-10-27T00:19:41: 读取文件成功
2016-10-27T00:19:44: 读取文件成功
2016-10-27T00:19:47: 读取文件成功
2016-10-27T00:19:50: 读取文件成功
2016-10-27T00:19:53: 读取文件成功
2016-10-27T00:19:56: 读取文件成功
2016-10-27T00:19:59: 读取文件成功
2016-10-27T00:20:02: 读取文件成功
2016-10-27T00:20:05: 读取文件成功
2016-10-27T00:20:08: 读取文件成功
